Lambda_Factor,Escenario,Capacidad_Bytes,Replica,W_Tiempo_Esp_Promedio,W_Tiempo_Esp_Maximo,W_Tiempo_Esp_P95,Lq_Cola_Promedio,Lq_Cola_Maximo,Throughput,N_Transacciones,N_Bloques_Minados
0.0005,2,1000000.0,5,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,2,1000000.0,6,16518.172976523067,54602.25298102317,52274.69140972804,66402.1376146789,145067,3.424125,246537,111
0.0005,2,1000000.0,7,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,2,1000000.0,8,14086.855635962576,72606.99297638613,52125.553676006464,86053.92660550459,125756,3.6734583333333335,264489,119
0.0005,2,1000000.0,9,6298.810116854805,23369.644648058646,19896.89604524236,50513.5329441201,158884,2.49525,179658,81
0.0005,2,1000000.0,10,33314.54354819194,68374.17814543404,65984.72528949789,109517.41951626356,210745,3.6922916666666667,265845,119
0.0005,2,2000000.0,1,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,2,2000000.0,2,17617.91693687561,46677.20152388739,41855.0016412872,114272.06922435363,234141,6.491305555555556,467374,104
0.0005,2,2000000.0,3,11788.090602743956,31410.55413103,30760.067989042273,42879.21934945788,158264,3.9115555555555557,281632,62
0.0005,2,2000000.0,4,8462.92537895721,29087.558055331043,27692.588043713517,55253.53211009174,160035,6.035819444444445,434579,98
0.0005,2,2000000.0,5,2130.542400028999,5181.80558402618,4588.932974630999,1436.5929941618015,35899,0.6832916666666666,49197,11
0.0005,2,2000000.0,6,15944.950783948347,18372.470084978944,18323.997055499087,2261.0308590492077,47694,0.6624166666666667,47694,11
0.0005,2,2000000.0,7,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0005,2,2000000.0,8,12907.706783502124,23802.84544726802,23315.799703463486,8018.814011676397,68580,1.4268611111111111,102734,24
0.0005,2,2000000.0,9,4806.60788531079,9778.801678353018,9367.56359590662,6102.937447873228,69738,1.275986111111111,91871,21
0.0005,2,2000000.0,10,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0015,1,500000.0,1,3636.921620267087,11374.21008386417,8583.339519661664,4643.039199332778,18831,1.2813055555555555,92254,70
0.0015,1,500000.0,2,13383.38466073632,28981.76470954324,28217.84989558372,16858.213511259382,57729,1.3450972222222222,96847,72
0.0015,1,500000.0,3,3412.946653018317,7604.574720889563,7332.699125519118,1718.1659716430358,17573,0.5068333333333334,36492,28
0.0015,1,500000.0,4,817.315532781368,1585.4787517091027,1584.0391287373,39.356964136780654,3324,0.049930555555555554,3595,4
0.0015,1,500000.0,5,0.0,0.0,0.0,0.0,0,0.0,0,0
0.0015,1,500000.0,6,8650.096341031547,20239.954133847135,19201.215356950455,7633.754795663052,40525,0.9041527777777778,65099,49
